Dataset_Label,Raw_Value
MODERATE,2
MODERATE,422
MODERATE,2
MODERATE,51
MODERATE,329
MODERATE,0
MODERATE,409
MODERATE,0
MODERATE,404
MODERATE,18
MODERATE,81
MODERATE,245
MODERATE,0
MODERATE,395
MODERATE,0
MODERATE,426
MODERATE,0
MODERATE,117
MODERATE,239
MODERATE,0
MODERATE,402
MODERATE,0
MODERATE,372
MODERATE,75
MODERATE,0
MODERATE,397
MODERATE,0
MODERATE,293
MODERATE,279
MODERATE,0
MODERATE,299
MODERATE,369
MODERATE,0
MODERATE,0
MODERATE,406
MODERATE,377
MODERATE,51
MODERATE,0
MODERATE,0
MODERATE,317
MODERATE,413
MODERATE,350
MODERATE,36
MODERATE,0
MODERATE,0
MODERATE,98
MODERATE,423
MODERATE,394
MODERATE,188
MODERATE,0
MODERATE,0
MODERATE,0
MODERATE,358
MODERATE,405
MODERATE,197
MODERATE,0
MODERATE,0
MODERATE,212
MODERATE,410
MODERATE,187
MODERATE,0
MODERATE,0
MODERATE,396
MODERATE,374
MODERATE,0
MODERATE,0
MODERATE,296
MODERATE,388
MODERATE,28
MODERATE,0
MODERATE,213
MODERATE,394
MODERATE,27
MODERATE,0
MODERATE,331
MODERATE,369
MODERATE,0
MODERATE,0
MODERATE,419
MODERATE,88
MODERATE,2
MODERATE,295
MODERATE,366
MODERATE,0
MODERATE,0
MODERATE,405
MODERATE,9
MODERATE,0
MODERATE,420
MODERATE,61
MODERATE,0
MODERATE,417
MODERATE,32
MODERATE,0
MODERATE,387
MODERATE,0
MODERATE,256
MODERATE,185
MODERATE,0
MODERATE,407
MODERATE,0
MODERATE,336
MODERATE,87
MODERATE,0
MODERATE,367
MODERATE,2
MODERATE,413
MODERATE,0
MODERATE,406
MODERATE,11
MODERATE,103
MODERATE,229
MODERATE,0
MODERATE,406
MODERATE,0
MODERATE,90
MODERATE,375
MODERATE,0
MODERATE,70
MODERATE,398
MODERATE,9
MODERATE,0
MODERATE,402
MODERATE,365
MODERATE,0
MODERATE,0
MODERATE,325
MODERATE,396
MODERATE,58
MODERATE,1
MODERATE,0
MODERATE,425
MODERATE,367
MODERATE,2
MODERATE,3
MODERATE,137
MODERATE,419
MODERATE,270
MODERATE,0
MODERATE,0
MODERATE,201
MODERATE,414
MODERATE,214
MODERATE,0
MODERATE,0
MODERATE,400
MODERATE,375
MODERATE,0
MODERATE,1
MODERATE,365
MODERATE,377
MODERATE,9
MODERATE,0
MODERATE,375
MODERATE,380
MODERATE,0
MODERATE,0
MODERATE,415
MODERATE,339
MODERATE,0
MODERATE,0
MODERATE,419
MODERATE,142
MODERATE,0
MODERATE,94
MODERATE,404
MODERATE,62
MODERATE,5
MODERATE,198
MODERATE,402
MODERATE,59
MODERATE,7
MODERATE,175
MODERATE,409
MODERATE,88
MODERATE,0
MODERATE,0
MODERATE,424
MODERATE,251
MODERATE,0
MODERATE,0
MODERATE,417
MODERATE,378
MODERATE,8
MODERATE,3
MODERATE,273
MODERATE,405
MODERATE,61
MODERATE,8
MODERATE,152
MODERATE,412
MODERATE,89
MODERATE,8
MODERATE,117
MODERATE,410
MODERATE,50
MODERATE,0
MODERATE,415
MODERATE,221
MODERATE,11
MODERATE,382
